device_id,name,ip_address,port,current_username,current_use_telnet,error_message,payload_name_matches,payload_ip_port_matches,match_rule
b9ec3ed1-01e4-4d51-9cf9-8bbe55e497ec,OLT INTERNLINK - DM4615,45.176.140.6,23180,ajust,True,"A conexão foi fechada, recusada ou as credenciais estão incorretas. Detalhe: NetmikoAuthenticationException: Login failed: 164.163.20.78",0,0,
eaaeb74f-682f-4965-be39-0bae33caf976,RB 1100        (LAR DE ACOLHIMENTO),45.176.57.104,2280,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
51b5ad1b-3af9-4c2c-9b17-caf2c82f456b,SWCORE-INFORNET,181.225.168.128,1533,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
a618ea59-af6f-4181-af38-fd0ff8519a76,RB4011 Gerencia,168.194.15.72,15422,Ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
d0a4cff2-44ef-435e-ae1c-df702d8ff3c6,CCR 1009 XAREU,192.141.105.88,4002,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
74698143-3b59-4629-a18f-c791a06dd34a,GRAFANA - KMTELECOM,45.170.192.54,24324,admin,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,2,
73ca63a7-d456-46f2-94cb-bb92576714b4,CCR 2004 JAGUARIBE,168.194.13.248,22552,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
8ed0c775-fd94-4117-9c99-464843f20758,CGNAT CHARNECA,45.187.19.6,222,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
52187f2d-72b6-4a73-941b-071c536be3d3,RB CGNAT G5 JABOATÃO,192.141.105.192,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
5cfe9853-04d6-4faa-ad57-14607f96db63,RB Hotspot - VESCNET,201.76.105.5,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
3a813810-2b27-4d66-9ad9-55084dbb8228,OLT Parks,179.51.151.48,7188,admin,True,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhes: cisco_ios_telnet: NetmikoAuthenticationException: Login failed: 179.51.151.48; huawei_telnet: ReadTimeout:   Pattern not detected: '(?:user:|username|login|user name)' in o",0,0,
