device_id,name,group,type,ip_address,port,username,name_matches,ip_kind_matches
6b972bf1-90b7-4263-8d8f-0573b1d297cc,NOC FLASHNET,FlashNet,MikroTik RouterOS,187.17.137.246,15422,ajust,0,0
31b61a68-8106-4c73-8d54-bebfe16ae1cf,OLT HUAWEI - JANGA,Vibe,OLT Huawei,187.17.137.188,23749,acessosgp,0,16
87fe391b-a24a-4283-88c5-8fd13fcf1b51,CGNAT- Core - PONTE DIGITAL,Ponte Digital,MikroTik RouterOS,170.80.48.1,15422,ajust,0,0
9501135b-90e8-45cd-96e5-dbeadf3f0413,Autenticador CellNet,CellNet,MikroTik RouterOS,190.89.232.3,48597,ajust,0,0
136e7ced-963f-4a65-8c27-bd9ad2caed6d,CRS-317 Switch 01 - Paulista,Mais.Net,MikroTik RouterOS,170.79.170.0,15455,ajust,0,0
45e2951a-dddc-468a-8080-10452ac32530,Mikrotik	 Autenticador,DuNet,MikroTik RouterOS,45.224.219.44,15422,ajust,0,0
e0abb4df-a25b-4aa3-a832-ed41a8435945,OLT INTELBRAS EPON 4840E,CellNet,OLT Intelbras,190.89.232.34,23,admin,0,0
3a995149-f482-4a2d-9871-187bcb5c27b8,SWITCH CORE JANGA - CRS 317,AF Telecom,MikroTik RouterOS,179.51.148.68,15422,ajust,0,0
3668591d-d546-4c76-a8c8-f17984048df6,Autenticador Line Connect,Line Conect,Router Huawei,164.163.230.1,26504,ajustconsulting,0,0
2502bb1d-8eb6-43c9-9f7d-87577edba1b2,Rb 1100 Escritrio Gerencia Goiana,PGI Telecom,MikroTik RouterOS,177.125.8.237,2223,ajust,0,0
3a7dc5a1-a328-423e-b02d-d0b0fe76493c,Gerencia Flashnet,FlashNet,MikroTik RouterOS,168.194.15.42,15422,ajust,0,0
138ae6b6-c23c-4194-b081-fba06817554a,RB1009 - MORENO,G5 - Jaboatão,MikroTik RouterOS,192.141.105.26,2222,ajust,0,0
567d7ad5-b99a-4323-a981-00597a3d726f,OLT - VSOL IGARASSU,TC+ Fibra (Agility),OLT VSOL,164.163.20.78,8032,ajust,0,2
51b5ad1b-3af9-4c2c-9b17-caf2c82f456b,SWCORE-INFORNET,Grupo Telecom,MikroTik RouterOS,181.225.168.128,1533,ajust,0,0
11708f6e-b4f9-445b-a727-e73e2de8bbad,AUT_PORTO-OGA_FIBRA_TELECOM,Oga Fibra Telecom,MikroTik RouterOS,179.51.151.248,7922,ajust,0,0
5e2aea1f-7090-4666-9975-040db026a265,ULTRANET - ROUTER - HW NE8000 AUT/BORDA,UltraNet,Router Huawei,192.141.106.2,27270,ultranet,0,0
feda3639-1d01-486a-8b00-b4e2ffca032c,RB BORDA,G5 - Piedade,MikroTik RouterOS,192.141.105.40,15422,ajust,0,0
30c0cc3e-e742-438b-91c9-1ade9283741d,ULTRANET-GERENCIA,UltraNet,MikroTik RouterOS,192.141.106.6,15422,ajust,0,0
eceef928-1cbc-4466-bc0e-3d2722d18bbc,QualyNet FastLink CCR1009,QualyNet,MikroTik RouterOS,168.194.12.160,2215,ajust,0,0
c5dc5dd4-b3ef-4211-952d-3947c0f02d88,BORDA POWERNET TELECOM,PowerNet,MikroTik RouterOS,170.79.168.32,15422,powernet,0,0
8114ca56-a735-4697-a6f8-2622e11e190a,CCR COMPORTA RB 1009 FANET,G5 - Prazeres,MikroTik RouterOS,192.141.105.80,15424,ajust,0,0
58d16f74-64d1-4c17-bb2a-5ee03e09205c,PIX FIBRA - SW CISCO - TOTO TERRIE_FIBRA,Pix Fibra,Switch Cisco,172.31.255.36,22,ajust,0,0
618e653d-5374-4cf9-8685-a085feb37cc2,RB - UZINA,Ponto Net,MikroTik RouterOS,177.71.92.221,15422,ajust,0,0
a1398526-6b15-46c0-9834-9573293ca440,AUTENTICADOR UBAS - CCR1009-7G-1C-1S+,HomeNet,MikroTik RouterOS,179.49.144.3,2224,ajust,0,0
4409f28f-ba97-468f-a524-587845097c52,Borda LinsNet,Lins Net,MikroTik RouterOS,170.79.170.104,22,ajust,0,0
44957844-e764-4202-8f01-9cfe175b3c24,OLT DATACOM POP- ENG MEIO,Martins Telecom - Cliente Cancelado,OLT Datacom,45.176.140.6,50021,admin,0,0
3ad2fe2b-ff16-431f-8ee7-6e217a985dc3,Borda CellNet,CellNet,MikroTik RouterOS,190.89.232.1,2203,ajust,0,0
6ac6b6ed-5a59-472e-bc2c-b8aaeaeb2b6c,Huawei - OLT,PowerFibra,OLT Huawei,187.17.137.188,23722,sgpolt,0,16
5193cd6a-031b-47c3-bf05-94c17d20e972,MK-SERVICOS-SERVIDORES,UP Connect Fibra,MikroTik RouterOS,179.48.12.138,15422,ajust,0,0
3416f9da-56c6-4a2d-a723-50a2b1a64b01,CRS 326,Voice Corp,MikroTik RouterOS,190.89.34.4,15422,ajust,0,0
4bcea5de-5b3c-4853-822c-1720f8cde5f9,CCR1072 - CGNAT,SofiaNet,MikroTik RouterOS,128.201.156.38,8181,ajust,0,0
cf24abfc-2b1a-431e-98a1-70ceb3bf74e8,AUTENTICADOR-TORRE-OGA_FIBRA_TELECOM,Oga Fibra Telecom,MikroTik RouterOS,179.51.151.48,15422,ajust,0,0
de32459e-530e-4a3c-9e39-b599c0987120,CRS112-8P-4S - SP,Voice Corp,MikroTik RouterOS,187.109.40.126,15422,ajust,0,0
